nationality,year,Count
Australian,1959,1
Australian,1958,2
Australian,1957,2
Australian,1956,1
Australian,1955,1
Australian,1952,1
Austrian,2010,1
Austrian,2007,1
Austrian,2006,1
Austrian,2005,3
Austrian,2004,1
Austrian,2000,1
Austrian,1999,1
Austrian,1998,1
Austrian,1997,2
Austrian,1996,1
Austrian,1995,2
Austrian,1994,3
Austrian,1993,2
Austrian,1992,2
Austrian,1991,2
Austrian,1990,1
Austrian,1989,1
Austrian,1988,1
Austrian,1987,1
Austrian,1986,1
Austrian,1985,2
Austrian,1984,3
Austrian,1983,1
Austrian,1982,1
Austrian,1980,1
Austrian,1979,1
Austrian,1978,3
Austrian,1977,3
Austrian,1976,4
Austrian,1975,2
Austrian,1974,3
Austrian,1973,1
Austrian,1972,2
Austrian,1971,2
Austrian,1970,1
Austrian,1969,1
Austrian,1968,1
Austrian,1967,1
Austrian,1966,1
Austrian,1965,1
Austrian,1964,1
Belgian,2018,1
Belgian,2017,1
Belgian,2016,1
Belgian,2012,1
Belgian,2011,1
Belgian,1995,1
Belgian,1994,2
Belgian,1993,1
Belgian,1992,3
Belgian,1991,3
Belgian,1990,2
Belgian,1989,2
Belgian,1988,1
Belgian,1987,1
Belgian,1986,1
Belgian,1985,1
Belgian,1984,1
Belgian,1983,1
Belgian,1979,1
Belgian,1978,1
Belgian,1977,4
Belgian,1976,2
Belgian,1975,1
Belgian,1974,2
Belgian,1973,1
Belgian,1972,1
Belgian,1971,1
Belgian,1970,1
Belgian,1969,1
Belgian,1968,2
Belgian,1967,1
Belgian,1965,1
Belgian,1964,1
Belgian,1963,3
Belgian,1962,2
Belgian,1961,4
Belgian,1960,3
Belgian,1959,3
Belgian,1958,2
Belgian,1956,4
Belgian,1955,2
Belgian,1954,3
Belgian,1953,5
Belgian,1952,5
Belgian,1951,2
Belgian,1950,1
Brazilian,2020,1
Brazilian,2017,1
Brazilian,2016,2
Brazilian,2015,2
Brazilian,2014,1
Brazilian,2013,1
Brazilian,2012,2
Brazilian,2011,3
Brazilian,2010,4
Brazilian,2009,3
Brazilian,2008,3
Brazilian,2007,2
Brazilian,2006,2
Brazilian,2005,4
Brazilian,2004,5
Brazilian,2003,3
Brazilian,2002,3
Brazilian,2001,5
Brazilian,2000,4
Brazilian,1999,3
Brazilian,1998,3
Brazilian,1997,4
Brazilian,1996,4
Brazilian,1995,3
Brazilian,1994,3
Brazilian,1993,3
Brazilian,1992,4
Brazilian,1991,4
Brazilian,1990,4
Brazilian,1989,4
Brazilian,1988,3
Brazilian,1987,3
Brazilian,1986,2
Brazilian,1985,2
Brazilian,1984,2
Brazilian,1983,3
Brazilian,1982,4
Brazilian,1981,2
Brazilian,1980,2
Brazilian,1979,3
Brazilian,1978,2
Brazilian,1977,4
Brazilian,1976,4
Brazilian,1975,3
Brazilian,1974,2
Brazilian,1973,4
Brazilian,1972,3
Brazilian,1971,1
Brazilian,1970,1
Brazilian,1959,1
Brazilian,1956,2
Brazilian,1955,1
Brazilian,1953,1
Brazilian,1952,2
Brazilian,1951,1
British,2024,4
British,2023,3
British,2022,3
British,2021,3
British,2020,4
British,2019,3
British,2018,1
British,2017,4
British,2016,3
British,2015,3
British,2014,4
British,2013,4
British,2012,3
British,2011,3
British,2010,2
British,2009,2
British,2008,4
British,2007,4
British,2006,2
British,2005,3
British,2004,2
British,2003,3
British,2002,5
British,2001,3
British,2000,4
British,1999,4
British,1998,4
British,1997,4
British,1996,5
British,1995,7
British,1994,7
British,1993,6
British,1992,5
British,1991,5
British,1990,4
British,1989,6
British,1988,5
British,1987,4
British,1986,5
British,1985,6
British,1984,4
British,1983,5
British,1982,6
British,1981,4
British,1980,6
British,1979,3
British,1978,6
British,1977,11
British,1976,10
British,1975,13
British,1974,14
British,1973,11
British,1972,9
British,1971,12
British,1970,10
British,1969,9
British,1968,13
British,1967,15
British,1966,14
British,1965,14
British,1964,12
British,1963,14
British,1962,14
British,1961,21
British,1960,22
British,1959,25
British,1958,20
British,1957,17
British,1956,15
British,1955,13
British,1954,19
British,1953,18
British,1952,21
British,1951,12
British,1950,12
Canadian,2024,1
Canadian,2023,1
Canadian,2022,2
Canadian,2021,2
Canadian,2020,2
Canadian,2019,1
Canadian,2018,1
Canadian,2017,1
Canadian,2006,1
Canadian,2005,1
Canadian,2004,1
Canadian,2003,1
Canadian,2002,1
Canadian,2001,1
Canadian,2000,1
Canadian,1999,1
Canadian,1998,1
Canadian,1997,1
Canadian,1996,1
Canadian,1986,1
Canadian,1983,1
Canadian,1982,1
Canadian,1981,2
Canadian,1980,1
Canadian,1979,1
Canadian,1978,1
Canadian,1977,1
Canadian,1974,1
Canadian,1972,1
Canadian,1971,2
Canadian,1970,1
Canadian,1969,4
Canadian,1968,1
Canadian,1967,2
Canadian,1963,1
Canadian,1961,1
Chilean,1983,1
Chilean,1982,1
Chilean,1981,1
Chinese,2024,1
Chinese,2023,1
Chinese,2022,1
Colombian,2006,1
Colombian,2005,1
Colombian,2004,1
Colombian,2003,1
Colombian,2002,1
Colombian,2001,1
Colombian,1983,1
Colombian,1982,1
Colombian,1981,1
Czech,2001,1
Danish,2024,1
Danish,2023,1
Danish,2022,1
Danish,2020,1
Danish,2019,1
Danish,2018,1
Danish,2017,1
Danish,2016,1
Danish,2015,1
Danish,2014,1
Danish,2003,1
Danish,1998,1
Danish,1997,1
Danish,1995,1
Danish,1976,1
Danish,1974,1
Dutch,2024,1
Dutch,2023,2
Dutch,2022,2
Dutch,2021,1
Dutch,2020,1
Dutch,2019,1
Dutch,2018,1
Dutch,2017,1
Dutch,2016,1
Dutch,2015,1
Dutch,2013,1
Dutch,2007,1
Dutch,2006,2
Dutch,2005,2
Dutch,2003,1
Dutch,2001,1
Dutch,2000,1
Dutch,1998,1
Dutch,1997,1
Dutch,1996,1
Dutch,1995,1
Dutch,1994,1
Dutch,1992,1
Dutch,1986,1
Dutch,1985,1
Dutch,1984,1
Dutch,1982,1
Dutch,1981,1
Dutch,1980,1
Dutch,1979,1
Dutch,1978,1
Dutch,1977,2
Dutch,1976,1
Dutch,1975,2
Dutch,1974,1
Dutch,1973,1
Dutch,1971,1
Dutch,1964,1
Dutch,1963,2
Dutch,1962,3
Dutch,1961,1
Dutch,1960,1
Dutch,1959,1
Dutch,1958,1
Dutch,1957,1
Dutch,1952,2
East German,1953,3
East German,1952,2
Finnish,2024,1
Finnish,2023,1
Finnish,2022,1
Finnish,2021,2
Finnish,2020,2
Finnish,2019,2
Finnish,2018,2
Finnish,2017,2
Finnish,2016,2
Finnish,2015,2
Finnish,2014,2
Finnish,2013,3
Finnish,2012,2
Finnish,2011,1
Finnish,2010,1
Finnish,2009,2
Finnish,2008,2
Finnish,2007,2
Finnish,2006,1
Finnish,2005,1
Finnish,2004,1
Finnish,2003,1
Finnish,2002,2
Finnish,2001,2
Finnish,2000,2
Finnish,1999,2
Finnish,1998,2
Finnish,1997,2
Finnish,1996,2
Finnish,1995,2
Finnish,1994,3
Finnish,1993,2
Finnish,1992,2
Finnish,1991,2
Finnish,1990,1
Finnish,1989,1
Finnish,1986,1
Finnish,1985,1
Finnish,1984,1
Finnish,1983,1
Finnish,1982,1
Finnish,1981,1
Finnish,1980,1
Finnish,1979,1
Finnish,1978,1
Finnish,1977,1
Finnish,1974,1
French,2024,2
French,2023,2
French,2022,2
French,2021,2
French,2020,3
French,2019,2
French,2018,3
French,2017,3
French,2016,2
French,2015,1
French,2014,3
French,2013,4
French,2012,3
French,2009,2
French,2008,1
French,2006,1
French,2004,1
French,2003,1
French,2002,1
French,2001,2
French,2000,1
French,1999,3
French,1998,2
French,1997,2
French,1996,2
French,1995,3
French,1994,9
French,1993,5
French,1992,4
French,1991,5
French,1990,6
French,1989,8
French,1988,7
French,1987,6
French,1986,6
French,1985,7
French,1984,7
French,1983,6
French,1982,6
French,1981,7
French,1980,7
French,1979,8
French,1978,7
French,1977,5
French,1976,5
French,1975,6
French,1974,9
French,1973,4
French,1972,5
French,1971,6
French,1970,4
French,1969,2
French,1968,4
French,1967,4
French,1966,1
French,1964,2
French,1963,2
French,1962,2
French,1961,2
French,1960,1
French,1959,3
French,1958,5
French,1957,3
French,1956,6
French,1955,9
French,1954,7
French,1953,6
French,1952,9
French,1951,12
French,1950,12
German,2024,1
German,2023,1
German,2022,3
German,2021,2
German,2020,2
German,2019,2
German,2018,2
German,2017,3
German,2016,4
German,2015,3
German,2014,5
German,2013,4
German,2012,5
German,2011,6
German,2010,7
German,2009,5
German,2008,5
German,2007,6
German,2006,4
German,2005,3
German,2004,4
German,2003,4
German,2002,4
German,2001,4
German,2000,4
German,1999,3
German,1998,3
German,1997,3
German,1996,2
German,1995,2
German,1994,2
German,1993,1
German,1992,1
German,1991,2
German,1990,1
German,1989,4
German,1988,1
German,1987,1
German,1986,1
German,1985,3
German,1984,2
German,1983,1
German,1982,2
German,1980,2
German,1979,2
German,1978,3
German,1977,3
German,1976,3
German,1975,3
German,1974,3
German,1973,2
German,1972,1
German,1971,1
German,1970,2
German,1968,2
German,1967,2
German,1965,1
German,1964,2
German,1963,3
German,1962,3
German,1961,4
German,1960,4
German,1959,2
German,1958,4
German,1957,3
German,1956,1
German,1955,2
German,1954,4
German,1953,12
German,1952,11
German,1951,1
German,1950,1
Hungarian,2004,1
Hungarian,2003,1
Indian,2012,1
Indian,2011,2
Indian,2010,1
Indian,2005,1
Indonesian,2016,1
Irish,2003,1
Irish,1982,2
Irish,1981,1
Irish,1980,2
Irish,1979,1
Irish,1978,1
Irish,1951,1
Irish,1950,1
Italian,2021,1
Italian,2020,1
Italian,2019,1
Italian,2017,1
Italian,2011,2
Italian,2010,2
Italian,2009,4
Italian,2008,2
Italian,2007,3
Italian,2006,3
Italian,2005,3
Italian,2004,4
Italian,2003,2
Italian,2002,2
Italian,2001,2
Italian,2000,2
Italian,1999,4
Italian,1998,2
Italian,1997,5
Italian,1996,4
Italian,1995,8
Italian,1994,8
Italian,1993,10
Italian,1992,12
Italian,1991,13
Italian,1990,15
Italian,1989,14
Italian,1988,11
Italian,1987,11
Italian,1986,9
Italian,1985,9
Italian,1984,9
Italian,1983,8
Italian,1982,8
Italian,1981,9
Italian,1980,5
Italian,1979,6
Italian,1978,8
Italian,1977,7
Italian,1976,5
Italian,1975,4
Italian,1974,4
Italian,1973,3
Italian,1972,3
Italian,1971,2
Italian,1970,3
Italian,1968,2
Italian,1967,3
Italian,1966,4
Italian,1965,7
Italian,1964,4
Italian,1963,7
Italian,1962,6
Italian,1961,11
Italian,1960,4
Italian,1959,3
Italian,1958,7
Italian,1957,6
Italian,1956,10
Italian,1955,10
Italian,1954,8
Italian,1953,8
Italian,1952,9
Italian,1951,8
Italian,1950,12
Japanese,2024,1
Japanese,2023,1
Japanese,2022,1
Japanese,2021,1
Japanese,2014,1
Japanese,2012,1
Japanese,2011,1
Japanese,2010,2
Japanese,2009,2
Japanese,2008,2
Japanese,2007,3
Japanese,2006,3
Japanese,2005,1
Japanese,2004,1
Japanese,2003,1
Japanese,2002,1
Japanese,1999,1
Japanese,1998,2
Japanese,1997,2
Japanese,1996,1
Japanese,1995,3
Japanese,1994,4
Japanese,1993,3
Japanese,1992,2
Japanese,1991,3
Japanese,1990,2
Japanese,1989,2
Japanese,1988,2
Japanese,1987,1
Japanese,1977,3
Japanese,1976,3
Japanese,1975,1
Liechtensteiner,1974,1
Liechtensteiner,1973,1
Malaysian,2002,1
Malaysian,2001,1
Mexican,2024,1
Mexican,2023,1
Mexican,2022,1
Mexican,2021,1
Mexican,2020,1
Mexican,2019,1
Mexican,2018,1
Mexican,2017,1
Mexican,2016,2
Mexican,2015,1
Mexican,2014,2
Mexican,2013,2
Mexican,2012,1
Mexican,2011,1
Mexican,1981,1
Mexican,1980,1
Mexican,1979,1
Mexican,1978,1
Mexican,1977,1
Mexican,1971,1
Mexican,1970,1
Mexican,1969,1
Mexican,1968,2
Mexican,1967,2
Mexican,1966,2
Mexican,1965,2
Mexican,1964,2
Mexican,1963,2
Mexican,1962,1
Mexican,1961,1
Monegasque,2024,1
Monegasque,2023,1
Monegasque,2022,1
Monegasque,2021,1
Monegasque,2020,1
Monegasque,2019,1
Monegasque,2018,1
Monegasque,1994,1
Monegasque,1959,1
Monegasque,1958,2
Monegasque,1956,1
Monegasque,1955,1
Monegasque,1953,1
Monegasque,1951,1
Monegasque,1950,1
New Zealander,2023,1
New Zealander,2018,1
New Zealander,2017,1
New Zealander,1984,1
New Zealander,1980,1
New Zealander,1976,1
New Zealander,1975,2
New Zealander,1974,4
New Zealander,1973,4
New Zealander,1972,3
New Zealander,1971,3
New Zealander,1970,3
New Zealander,1969,3
New Zealander,1968,3
New Zealander,1967,3
New Zealander,1966,3
New Zealander,1965,3
New Zealander,1964,2
New Zealander,1963,2
New Zealander,1962,2
New Zealander,1961,1
New Zealander,1960,1
New Zealander,1959,1
New Zealander,1958,1
Polish,2021,1
Polish,2019,1
Polish,2010,1
Polish,2009,1
Polish,2008,1
Polish,2007,1
Polish,2006,1
Portuguese,2006,1
Portuguese,2005,1
Portuguese,1996,1
Portuguese,1995,1
Portuguese,1994,1
Portuguese,1993,1
Portuguese,1991,1
Portuguese,1964,1
Portuguese,1963,1
Portuguese,1960,1
Portuguese,1959,1
Rhodesian,1972,1
Rhodesian,1971,1
Rhodesian,1970,1
Rhodesian,1969,2
Rhodesian,1968,2
Rhodesian,1967,2
Rhodesian,1965,3
Rhodesian,1964,1
Rhodesian,1963,2
Rhodesian,1962,3
Russian,2021,1
Russian,2020,1
Russian,2019,1
Russian,2018,1
Russian,2017,1
Russian,2016,1
Russian,2015,1
Russian,2014,1
Russian,2012,1
Russian,2011,1
Russian,2010,1
South African,1980,2
South African,1979,1
South African,1978,1
South African,1977,2
South African,1976,2
South African,1975,5
South African,1974,5
South African,1973,4
South African,1972,2
South African,1971,2
South African,1970,2
South African,1969,2
South African,1968,3
South African,1967,2
South African,1965,12
South African,1964,1
South African,1963,8
South African,1962,7
South African,1961,1
Spanish,2024,2
Spanish,2023,2
Spanish,2022,2
Spanish,2021,2
Spanish,2020,1
Spanish,2019,1
Spanish,2018,2
Spanish,2017,2
Spanish,2016,2
Spanish,2015,3
Spanish,2014,1
Spanish,2013,1
Spanish,2012,2
Spanish,2011,3
Spanish,2010,3
Spanish,2009,2
Spanish,2008,1
Spanish,2007,1
Spanish,2006,2
Spanish,2005,2
Spanish,2004,2
Spanish,2003,2
Spanish,2002,1
Spanish,2001,2
Spanish,2000,2
Spanish,1999,2
Spanish,1989,1
Spanish,1988,2
Spanish,1987,1
Spanish,1982,1
Spanish,1978,1
Spanish,1977,1
Spanish,1976,2
Spanish,1972,1
Spanish,1971,1
Spanish,1970,1
Spanish,1960,1
Spanish,1958,1
Spanish,1957,2
Spanish,1956,2
Spanish,1954,1
Spanish,1951,2
Swedish,2018,1
Swedish,2017,1
Swedish,2016,1
Swedish,2015,1
Swedish,2014,1
Swedish,1991,1
Swedish,1990,1
Swedish,1989,1
Swedish,1988,1
Swedish,1987,1
Swedish,1986,1
Swedish,1985,1
Swedish,1984,1
Swedish,1983,1
Swedish,1982,1
Swedish,1981,1
Swedish,1980,1
Swedish,1978,1
Swedish,1977,3
Swedish,1976,3
Swedish,1975,2
Swedish,1974,3
Swedish,1973,2
Swedish,1972,2
Swedish,1971,3
Swedish,1970,3
Swedish,1969,1
Swedish,1968,1
Swedish,1967,1
Swedish,1966,1
Swedish,1965,1
Swedish,1964,1
Swedish,1963,1
Swedish,1962,1
Swedish,1961,1
Swedish,1960,1
Swedish,1959,1
Swedish,1958,1
Swedish,1957,1
Swedish,1956,1
Swiss,2011,1
Swiss,2010,1
Swiss,2009,1
Swiss,1995,1
Swiss,1994,1
Swiss,1992,1
Swiss,1990,1
Swiss,1989,1
Swiss,1987,1
Swiss,1986,1
Swiss,1985,1
Swiss,1984,1
Swiss,1983,1
Swiss,1982,1
Swiss,1981,1
Swiss,1980,2
Swiss,1979,2
Swiss,1978,1
Swiss,1977,2
Swiss,1976,2
Swiss,1975,2
Swiss,1974,1
Swiss,1973,1
Swiss,1972,1
Swiss,1971,3
Swiss,1970,3
Swiss,1969,2
Swiss,1968,2
Swiss,1967,2
Swiss,1966,1
Swiss,1965,1
Swiss,1964,1
Swiss,1963,1
Swiss,1962,3
Swiss,1961,2
Swiss,1957,1
Swiss,1956,2
Swiss,1954,2
Swiss,1953,4
Swiss,1952,5
Swiss,1951,4
Swiss,1950,2
Thai,2024,1
Thai,2023,1
Thai,2022,1
Thai,2020,1
Thai,2019,1
Thai,1954,1
Thai,1953,1
Thai,1952,1
Thai,1951,1
Thai,1950,1
Uruguayan,1959,1
Uruguayan,1956,2
Uruguayan,1955,1
Uruguayan,1952,1
Venezuelan,2015,1
Venezuelan,2014,1
Venezuelan,2013,1
Venezuelan,2012,1
Venezuelan,2011,1
Venezuelan,1984,1
Venezuelan,1983,1
Venezuelan,1960,1
